股票代码,股票名称,2020年分红,2020年收盘价,2020年股息率(%),2021年分红,2021年收盘价,2021年股息率(%),2022年分红,2022年收盘价,2022年股息率(%),2023年分红,2023年收盘价,2023年股息率(%),2024年分红,2024年收盘价,2024年股息率(%),2025年分红,2025年收盘价,2025年股息率(%),2020-2025年累计分红,2020-2025年平均股息率(%)
sh.600211,西藏药业,1.06,67.28,1.58,0.51,52.36,0.97,0.338,35.92,0.94,1.948,48.8,3.99,1.966,36.94,5.32,1.609,41.97,3.83,7.431,2.77
sh.600256,广汇能源,0.0,2.83,0.0,0.0,6.54,0.0,0.4,9.02,4.43,0.8,7.14,11.2,0.7,6.73,10.4,0.622,4.98,12.49,2.522,9.63
sh.600261,阳光照明,0.17,3.68,4.62,0.3,4.38,6.85,0.2,3.19,6.27,0.13,3.27,3.98,0.13,3.27,3.98,0.14,3.46,4.05,1.07,4.96
sh.600269,赣粤高速,0.15,3.42,4.39,0.2,3.43,5.83,0.12,3.39,3.54,0.1,4.11,2.43,0.16,5.61,2.85,0.17,5.35,3.18,0.9,3.7
sh.600273,嘉化能源,0.365,9.24,3.95,0.45,11.57,3.89,0.55,8.37,6.57,0.7,8.59,8.15,0.4,7.97,5.02,0.4,8.27,4.84,2.865,5.4
sh.600282,南钢股份,0.3,3.12,9.62,0.25,3.7,6.76,0.3,3.15,9.52,0.25,3.7,6.76,0.35,4.69,7.46,0.2036,5.21,3.91,1.6536,7.34
sh.600285,羚锐制药,0.3,8.47,3.54,0.4,15.8,2.53,0.5,13.04,3.83,0.6,17.11,3.51,0.8,22.16,3.61,0.9,21.97,4.1,3.5,3.52
sh.600295,鄂尔多斯,0.4,10.42,3.84,0.8,23.59,3.39,2.0,15.19,13.17,1.0,9.7,10.31,0.8,9.76,8.2,0.6,10.97,5.47,5.6,7.4
sh.600300,维维股份,0.0,4.71,0.0,0.1,4.15,2.41,0.03,3.56,0.84,0.018,3.11,0.58,0.065,3.22,2.02,0.128,3.59,3.57,0.341,1.88
sh.600323,瀚蓝环境,0.22,24.81,0.89,0.22,20.98,1.05,0.22,18.46,1.19,0.22,17.33,1.27,0.48,23.62,2.03,1.05,29.37,3.58,2.41,1.67
sh.600332,白云山,0.589,29.25,2.01,0.538,34.2,1.57,0.687,29.79,2.31,0.732,28.6,2.56,1.149,28.42,4.04,0.8,25.82,3.1,4.495,2.6
sh.600348,华阳股份,0.28,5.61,4.99,0.25,11.85,2.11,0.5,14.25,3.51,0.877,9.76,8.99,0.718,7.09,10.13,0.309,7.76,3.98,2.934,5.62
sh.600350,山东高速,0.38,6.18,6.15,0.38,5.16,7.36,0.4,5.69,7.03,0.4,6.94,5.76,0.42,10.28,4.09,0.42,9.06,4.64,2.4,5.84
sh.600351,亚宝药业,0.02,4.98,0.4,0.05,9.08,0.55,0.08,5.88,1.36,0.05,6.9,0.72,0.15,6.09,2.46,0.3,6.82,4.4,0.65,1.65
sh.600352,浙江龙盛,0.25,13.62,1.84,0.25,12.63,1.98,0.25,9.9,2.53,0.25,8.4,2.98,0.45,10.29,4.37,0.45,10.51,4.28,1.9,3.0
sh.600368,五洲交通,0.08,3.66,2.19,0.151,4.07,3.71,0.188,3.76,5.0,0.052,3.95,1.32,0.107,4.77,2.24,0.131,4.0,3.28,0.709,2.96
sh.600373,中文传媒,0.5,10.09,4.96,0.55,12.36,4.45,0.68,9.57,7.11,0.75,13.18,5.69,0.78,12.55,6.22,0.4,10.15,3.94,3.66,5.39
sh.600377,宁沪高速,0.46,9.21,4.99,0.46,8.62,5.34,0.46,8.22,5.6,0.46,10.25,4.49,0.47,15.31,3.07,0.49,12.35,3.97,2.8,4.58
sh.600428,中远海特,0.0,4.55,0.0,0.02,5.04,0.4,0.05,5.96,0.84,0.16,5.36,2.99,0.248,7.3,3.4,0.279,7.11,3.92,0.757,2.31
sh.600461,洪城环境,0.26,6.76,3.85,0.421,8.15,5.17,0.5,6.95,7.19,0.434,9.14,4.75,0.4407,9.95,4.43,0.464,9.97,4.65,2.5197,5.01
sh.600479,千金药业,0.5,8.64,5.79,1.0,12.55,7.97,0.6,9.6,6.25,0.35,10.77,3.25,0.35,10.68,3.28,0.36,10.65,3.38,3.16,4.99
sh.600480,凌云股份,0.0,8.68,0.0,0.262,9.91,2.64,0.1,8.51,1.18,0.1099,9.11,1.21,0.35,10.81,3.24,0.4,12.08,3.31,1.2219,2.32
sh.600483,福能股份,0.25,7.93,3.15,0.27,16.28,1.66,0.21,10.58,1.98,0.4,8.27,4.84,0.31,9.97,3.11,0.383,10.02,3.82,1.823,3.09
sh.600502,安徽建工,0.15,3.78,3.97,0.2,4.15,4.82,0.25,4.8,5.21,0.25,4.65,5.38,0.26,4.78,5.44,0.27,4.83,5.59,1.38,5.07
sh.600546,山煤国际,0.06,8.51,0.71,0.066,8.21,0.8,2.017,14.49,13.92,1.8,17.51,10.28,0.65,11.83,5.49,0.69,10.35,6.67,5.283,6.31
sh.600551,时代出版,0.0,7.36,0.0,0.292,7.97,3.66,0.164,10.18,1.61,0.25,10.89,2.3,0.6,8.61,6.97,0.4,8.41,4.76,1.706,3.86
sh.600559,老白干酒,0.15,31.48,0.48,0.15,27.94,0.54,0.15,27.53,0.54,0.3,22.55,1.33,0.45,20.99,2.14,0.55,16.24,3.39,1.75,1.4
sh.600566,济川药业,1.23,20.23,6.08,0.9,28.34,3.18,0.68,27.22,2.5,0.88,31.43,2.8,1.3,29.08,4.47,2.09,27.22,7.68,7.08,4.45
sh.600572,康恩贝,0.0,4.71,0.0,0.0,5.0,0.0,0.16,4.73,3.38,0.15,5.05,2.97,0.2,4.66,4.29,0.15,4.65,3.23,0.66,3.47
sh.600582,天地科技,0.1,3.08,3.25,0.15,4.38,3.42,0.18,5.2,3.46,0.2,5.44,3.68,0.28,6.18,4.53,0.317,5.93,5.35,1.227,3.95
sh.600583,海油工程,0.06,4.49,1.34,0.07,4.61,1.52,0.08,6.06,1.32,0.1,5.94,1.68,0.147,5.47,2.69,0.201,5.54,3.63,0.658,2.03
sh.600585,海螺水泥,2.0,51.62,3.87,2.12,40.3,5.26,2.38,27.38,8.69,1.48,22.56,6.56,0.96,23.78,4.04,0.95,22.67,4.19,9.89,5.43
sh.600587,新华医疗,0.1,14.22,0.7,0.1,32.2,0.31,0.15,21.42,0.7,0.15,25.79,0.58,0.5,16.65,3.0,0.5,15.05,3.32,1.5,1.43
sh.600598,北大荒,0.38,19.25,1.97,0.8,14.56,5.49,0.4,13.76,2.91,0.42,11.97,3.51,0.44,14.75,2.98,0.55,14.81,3.71,2.99,3.43
sh.600600,青岛啤酒,0.55,99.4,0.55,0.75,99.0,0.76,1.1,107.5,1.02,1.3,74.75,1.74,2.0,80.92,2.47,2.2,62.58,3.52,7.9,1.68
sh.600612,老凤祥,1.15,45.33,2.54,1.25,45.85,2.73,1.45,42.8,3.39,1.46,69.0,2.12,1.95,54.27,3.59,2.05,44.56,4.6,9.31,3.16
sh.600639,浦东金桥,0.31,12.4,2.5,0.3,12.77,2.35,0.5,11.1,4.5,0.5,10.11,4.95,0.57,11.1,5.14,0.3227,10.36,3.11,2.5027,3.76
sh.600642,申能股份,0.22,5.22,4.21,0.28,7.37,3.8,0.2,5.49,3.64,0.16,6.42,2.49,0.4,9.49,4.21,0.45,8.16,5.51,1.71,3.98
sh.600648,外高桥,0.24,13.97,1.72,0.2,13.23,1.51,0.8254,11.95,6.91,0.33,9.86,3.35,0.41,11.91,3.44,0.35,10.43,3.36,2.3554,3.38
sh.600655,豫园股份,0.29,8.89,3.26,0.33,10.3,3.2,0.35,7.61,4.6,0.35,6.21,5.64,0.19,6.43,2.95,0.19,5.3,3.58,1.7,3.87
sh.600660,福耀玻璃,0.75,48.05,1.56,0.75,47.14,1.59,1.0,35.07,2.85,1.25,37.39,3.34,1.3,62.4,2.08,2.7,63.45,4.26,7.75,2.61
sh.600662,外服控股,0.04,8.82,0.45,0.0,7.16,0.0,0.2,5.97,3.35,0.12,4.8,2.5,0.13,5.07,2.56,0.24,5.27,4.55,0.73,2.68
sh.600681,百川能源,0.425,5.07,8.38,0.69,5.53,12.48,0.4,4.27,9.37,0.3,3.93,7.63,0.22,3.5,6.29,0.235,4.26,5.52,2.27,8.28
sh.600690,海尔智家,0.375,29.21,1.28,0.366,29.89,1.22,0.4614,24.46,1.89,0.5669,21.0,2.7,0.8013,28.47,2.81,1.2342,27.17,4.54,3.8048,2.41
sh.600694,大商股份,0.77,20.3,3.79,0.6,19.51,3.08,2.0,18.1,11.05,0.5,16.89,2.96,1.0,26.37,3.79,1.0,17.29,5.78,5.87,5.08
sh.600704,物产中大,0.25,4.37,5.72,0.2,5.92,3.38,0.16,4.81,3.33,0.15,4.43,3.39,0.21,5.06,4.15,0.21,5.48,3.83,1.18,3.97
sh.600710,苏美达,0.102,5.6,1.82,0.251,6.54,3.84,0.265,5.88,4.51,0.3,7.09,4.23,0.33,9.3,3.55,0.369,10.64,3.47,1.617,3.57
sh.600713,南京医药,0.1,4.45,2.25,0.11,4.91,2.24,0.12,5.12,2.34,0.14,4.84,2.89,0.16,4.96,3.23,0.17,5.18,3.28,0.8,2.71
sh.600720,中交设计,0.58,13.58,4.27,0.68,10.4,6.54,0.45,9.93,4.53,0.0,10.08,0.0,0.257,8.86,2.9,0.229,7.46,3.07,2.196,4.26
sh.600729,重庆百货,0.73,28.9,2.53,3.69,26.02,14.18,3.79,23.65,16.03,0.68,28.2,2.41,1.3561,29.25,4.64,1.3622,26.62,5.12,11.6083,7.49
sh.600741,华域汽车,0.85,28.82,2.95,0.75,28.3,2.65,0.85,17.33,4.9,0.88,16.28,5.41,0.75,17.61,4.26,0.8,19.75,4.05,4.88,4.04
sh.600742,富维股份,0.2,10.04,1.99,0.3,11.96,2.51,0.3,8.36,3.59,0.25,9.55,2.62,0.35,8.85,3.95,0.53,9.94,5.33,1.93,3.33
sh.600750,江中药业,0.3,10.61,2.83,0.4902,14.45,3.39,1.15,14.45,7.96,1.25,20.88,5.99,1.2,22.7,5.29,1.2,23.11,5.19,5.5902,5.11
sh.600755,厦门国贸,0.23,6.68,3.44,0.46,7.21,6.38,0.5,7.14,7.0,0.65,6.97,9.33,0.5,6.64,7.53,0.33,7.19,4.59,2.67,6.38
sh.600757,长江传媒,0.2,5.29,3.78,0.35,5.35,6.54,0.37,5.7,6.49,0.32,7.45,4.3,0.4,9.57,4.18,0.41,9.12,4.5,2.05,4.97
sh.600761,安徽合力,0.35,14.2,2.46,0.7,12.51,5.6,0.35,13.15,2.66,0.4,18.21,2.2,0.6,17.65,3.4,0.7,20.14,3.48,3.1,3.3
sh.600790,轻纺城,0.18,3.37,5.34,0.2,3.29,6.08,0.15,4.65,3.23,0.17,3.97,4.28,0.1,3.75,2.67,0.12,3.84,3.12,0.92,4.12
sh.600795,国电电力,0.05,2.25,2.22,0.04,3.17,1.26,0.0,4.27,0.0,0.15,4.16,3.61,0.16,4.58,3.49,0.21,5.72,3.67,0.61,2.85
sh.600801,华新建材,1.21,20.63,5.87,1.08,19.3,5.6,1.0,14.82,6.75,0.51,12.43,4.1,0.53,12.1,4.38,0.8,22.77,3.51,5.13,5.04
sh.600803,新奥股份,0.21,13.59,1.55,0.19,18.36,1.03,0.3075,16.1,1.91,0.51,16.82,3.03,0.91,21.68,4.2,1.21,21.53,5.62,3.3375,2.89
sh.600817,宇通重工,0.0,14.7,0.0,0.0,13.61,0.0,0.35,8.9,3.93,0.38,9.6,3.96,0.48,11.48,4.18,0.38,10.96,3.47,1.59,3.89
sh.600820,隧道股份,0.21,5.41,3.88,0.22,5.38,4.09,0.23,5.27,4.36,0.37,5.76,6.42,0.33,7.19,4.59,0.3,6.38,4.7,1.66,4.67
sh.600821,金开新能,0.0,4.62,0.0,0.0,9.49,0.0,0.0,7.24,0.0,0.1,6.12,1.63,0.175,5.4,3.24,0.2,5.3,3.77,0.475,2.88
sh.600861,北京人力,0.02,17.86,0.11,0.0,23.01,0.0,0.0,21.97,0.0,0.0,18.74,0.0,0.484,19.35,2.5,0.699,18.28,3.82,1.203,2.14
sh.600863,内蒙华电,0.126,2.57,4.9,0.126,3.94,3.2,0.1,3.49,2.87,0.164,3.9,4.21,0.185,4.33,4.27,0.22,4.7,4.68,0.921,4.02
sh.600866,星湖科技,0.0,4.99,0.0,0.0,6.24,0.0,0.0,5.93,0.0,0.0,4.66,0.0,0.38,6.47,5.87,0.38,6.88,5.52,0.76,5.7
sh.600873,梅花生物,0.26,4.66,5.58,0.3,7.67,3.91,0.4,10.18,3.93,0.4,9.55,4.19,0.596,10.03,5.94,0.426,10.03,4.25,2.382,4.63
sh.600886,国投电力,0.2453,8.64,2.84,0.28,11.47,2.44,0.1635,10.83,1.51,0.275,13.18,2.09,0.4948,16.62,2.98,0.4565,13.7,3.33,1.9151,2.53
sh.600887,伊利股份,0.81,44.37,1.83,0.82,41.46,1.98,0.96,31.0,3.1,1.04,26.75,3.89,1.2,30.18,3.98,1.7,28.84,5.89,6.53,3.45
sh.600888,新疆众和,0.06,6.04,0.99,0.11,8.27,1.33,0.19,8.19,2.32,0.35,7.24,4.83,0.12,7.1,1.69,0.27,7.97,3.39,1.1,2.43
sh.600894,广日股份,0.15,8.08,1.86,0.4,7.54,5.31,0.23,6.45,3.57,0.18,7.35,2.45,1.29,14.6,8.84,0.7,9.14,7.66,2.95,4.95
sh.600901,江苏金租,0.48,5.51,8.71,0.3,5.09,5.89,0.35,5.48,6.39,0.35,4.84,7.23,0.32,5.22,6.13,0.4,6.17,6.48,2.2,6.8
sh.600908,无锡银行,0.18,6.08,2.96,0.18,5.67,3.17,0.18,5.27,3.42,0.2,5.05,3.96,0.2,5.91,3.38,0.33,6.08,5.43,1.27,3.72
sh.600916,中国黄金,0.0,0.0,0.0,0.16,13.73,1.17,0.24,12.64,1.9,0.3,9.87,3.04,0.45,8.62,5.22,0.35,8.05,4.35,1.5,3.14
sh.600926,杭州银行,0.35,14.92,2.35,0.35,12.82,2.73,0.35,13.08,2.68,0.4,10.01,4.0,0.89,14.61,6.09,0.66,15.67,4.21,3.0,3.68
sh.600938,中国海油,0.0,0.0,0.0,0.0,0.0,0.0,0.6084,15.2,4.0,1.2176,20.97,5.81,1.2769,29.51,4.33,1.2712,28.54,4.45,4.3741,4.65
sh.600941,中国移动,0.0,0.0,0.0,0.0,0.0,0.0,3.9881,67.67,5.89,4.2043,99.48,4.23,4.5638,118.16,3.86,4.7941,104.51,4.59,17.5503,4.64
sh.600968,海油发展,0.037,2.39,1.55,0.045,2.93,1.54,0.055,2.88,1.91,0.085,2.85,2.98,0.11,4.27,2.58,0.135,3.83,3.52,0.467,2.35
sh.600970,中材国际,0.301,6.88,4.38,0.23,11.43,2.01,0.23,8.52,2.7,0.3,9.34,3.21,0.4,9.48,4.22,0.45,9.57,4.7,1.911,3.54
sh.600971,恒源煤电,0.35,6.29,5.56,0.33,6.46,5.11,0.5,7.16,6.98,1.0,11.15,8.97,0.85,9.41,9.03,0.27,6.62,4.08,3.3,6.62
sh.600982,宁波能源,0.0486,3.75,1.3,0.135,4.69,2.88,0.17,4.28,3.97,0.135,4.09,3.3,0.15,4.12,3.64,0.15,4.51,3.33,0.7886,3.07
sh.600985,淮北矿业,0.6,11.19,5.36,0.65,11.18,5.81,0.7,12.8,5.47,1.05,16.63,6.31,1.0,14.07,7.11,0.75,11.6,6.47,4.75,6.09
sh.600987,航民股份,0.22,5.73,3.84,0.2,5.56,3.6,0.3,7.25,4.14,0.3,8.76,3.42,0.3,6.94,4.32,0.4,7.15,5.59,1.72,4.15
sh.600989,宝丰能源,0.2754,11.7,2.35,0.5856,17.36,3.37,0.3864,12.07,3.2,0.14,14.77,0.95,0.28,16.84,1.66,0.69,18.52,3.73,2.3574,2.54
sh.600997,开滦股份,0.22,5.74,3.83,0.28,7.12,3.93,0.46,6.78,6.78,0.58,7.63,7.6,0.3434,6.76,5.08,0.26,6.1,4.26,2.1434,5.25
sh.600998,九州通,0.0,18.16,0.0,0.5,14.72,3.4,0.3,13.04,2.3,0.5,7.01,7.13,0.25,5.12,4.88,0.2,5.14,3.89,1.75,4.32
sh.600999,招商证券,0.335,23.34,1.44,0.437,17.65,2.48,0.54,13.3,4.06,0.185,13.64,1.36,0.353,19.16,1.84,0.496,16.82,2.95,2.346,2.35
sh.601000,唐山港,0.09,2.48,3.63,0.35,2.75,12.73,0.2,2.74,7.3,0.2,3.5,5.71,0.2,4.71,4.25,0.2,3.85,5.19,1.24,6.47
sh.601001,晋控煤业,0.0,6.3,0.0,0.0,9.61,0.0,0.4,11.96,3.34,0.63,12.33,5.11,0.79,13.67,5.78,0.755,14.12,5.35,2.575,4.89
sh.601006,大秦铁路,0.48,6.46,7.43,0.48,6.4,7.5,0.48,6.68,7.19,0.48,7.21,6.66,0.5112,6.78,7.54,0.22,5.52,3.99,2.6512,6.72
sh.601009,南京银行,0.392,8.08,4.85,0.393,8.96,4.39,0.4616,10.42,4.43,0.5339,7.38,7.23,0.883,10.65,8.29,0.5055,11.4,4.43,3.169,5.6
sh.601010,文峰股份,0.09,2.95,3.05,0.145,3.47,4.18,0.129,2.89,4.46,0.0,2.44,0.0,0.087,2.75,3.16,0.105,3.12,3.37,0.556,3.64
sh.601016,节能风电,0.051,3.43,1.49,0.044,6.51,0.68,0.055,3.81,1.44,0.091,3.0,3.03,0.084,3.17,2.65,0.1092,2.99,3.65,0.4342,2.16
sh.601018,宁波港,0.099,3.92,2.53,0.164,3.97,4.13,0.09,3.58,2.51,0.087,3.56,2.44,0.091,3.85,2.36,0.138,3.7,3.73,0.669,2.95
sh.601019,山东出版,0.32,5.65,5.66,0.32,6.15,5.2,0.35,6.28,5.57,0.39,9.38,4.16,0.56,11.35,4.93,0.37,8.38,4.42,2.31,4.99
sh.601033,永兴股份,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,14.46,3.6,0.6,15.44,3.89,1.12,3.75
sh.601083,锦江航运,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.49,0.0,0.397,9.52,4.17,0.488,11.34,4.3,0.885,4.23
sh.601088,中国神华,1.26,18.01,7.0,1.81,22.52,8.04,2.54,27.62,9.2,2.55,31.35,8.13,2.26,43.48,5.2,3.24,40.9,7.92,13.66,7.58
sh.601098,中南传媒,0.62,9.53,6.51,0.63,9.57,6.58,0.65,9.98,6.51,0.6,10.17,5.9,0.65,15.01,4.33,0.55,11.2,4.91,3.7,5.79
sh.601101,昊华能源,0.07,4.71,1.49,0.03,7.4,0.41,0.55,6.18,8.9,0.34,6.32,5.38,0.35,8.23,4.25,0.458,7.33,6.25,1.798,4.45
sh.601107,四川成渝,0.11,3.18,3.46,0.08,5.38,1.49,0.11,3.8,2.89,0.1,4.39,2.28,0.24,5.23,4.59,0.29,5.97,4.86,0.93,3.26
sh.601128,常熟银行,0.2,7.38,2.71,0.2,6.61,3.03,0.2,7.55,2.65,0.25,6.39,3.91,0.25,7.57,3.3,0.4,7.13,5.61,1.5,3.54
sh.601158,重庆水务,0.257,5.12,5.02,0.255,6.41,3.98,0.257,5.13,5.01,0.27,5.67,4.76,0.169,4.9,3.45,0.157,4.63,3.39,1.365,4.27
sh.601163,三角轮胎,0.35,16.07,2.18,0.4,13.71,2.92,0.23,12.21,1.88,0.28,14.41,1.94,0.67,15.07,4.45,0.53,14.82,3.58,2.46,2.83
sh.601166,兴业银行,0.762,20.87,3.65,0.802,19.04,4.21,1.035,17.59,5.88,1.188,16.21,7.33,1.04,19.16,5.43,1.06,20.88,5.08,5.887,5.26
sh.601168,西部矿业,0.1,12.38,0.81,0.12,13.61,0.88,0.2,10.2,1.96,1.4,14.27,9.81,0.5,16.07,3.11,1.0,26.3,3.8,3.32,3.4
sh.601169,北京银行,0.305,4.84,6.3,0.3,4.44,6.76,0.305,4.31,7.08,0.31,4.53,6.84,0.44,6.15,7.15,0.2,5.63,3.55,1.86,6.28
sh.601186,中国铁建,0.21,7.9,2.66,0.23,7.8,2.95,0.246,7.73,3.18,0.28,7.61,3.68,0.35,9.17,3.82,0.6,7.76,7.73,1.916,4.0
sh.601187,厦门银行,0.0,13.2,0.0,0.18,6.9,2.61,0.25,5.73,4.36,0.29,5.07,5.72,0.46,5.64,8.16,0.3,7.46,4.02,1.48,4.97
sh.601216,君正集团,0.35,4.95,7.07,0.3,5.23,5.74,0.162,3.99,4.06,0.18,3.74,4.81,0.32,5.26,6.08,0.15,4.83,3.11,1.462,5.14
sh.601225,陕西煤业,0.36,9.34,3.85,0.8,12.2,6.56,1.35,18.58,7.27,2.18,20.89,10.44,1.527,23.26,6.56,1.175,22.29,5.27,7.392,6.66
sh.601229,上海银行,0.4,7.84,5.1,0.4,7.13,5.61,0.4,5.91,6.77,0.4,5.97,6.7,0.74,9.15,8.09,0.52,9.66,5.38,2.86,6.27
sh.601288,农业银行,0.1819,3.14,5.79,0.1851,2.94,6.3,0.2068,2.91,7.11,0.2222,3.64,6.1,0.4637,5.34,8.68,0.245,7.84,3.12,1.5047,6.18
sh.601311,骆驼股份,0.21,9.35,2.25,0.2,15.33,1.3,0.22,8.16,2.7,0.2,8.01,2.5,0.27,8.29,3.26,0.29,9.21,3.15,1.39,2.53
sh.601318,中国平安,2.1,86.98,2.41,2.28,50.41,4.52,2.42,47.0,5.15,2.43,40.3,6.03,2.43,52.65,4.62,5.14,63.4,8.11,16.8,5.14
sh.601330,绿色动力,0.1,8.63,1.16,0.2,10.44,1.92,0.1,6.77,1.48,0.12,6.64,1.81,0.25,6.56,3.81,0.3,7.0,4.29,1.07,2.41
sh.601336,新华保险,1.41,57.97,2.43,1.39,38.88,3.58,1.44,30.08,4.79,1.08,31.13,3.47,1.39,49.7,2.8,2.66,67.85,3.92,9.37,3.5
sh.601339,百隆东方,0.06,4.0,1.5,0.2,5.89,3.4,0.5,5.7,8.77,0.5,4.87,10.27,0.3,5.44,5.51,0.41,5.34,7.68,1.97,6.19
sh.601369,陕鼓动力,0.23,7.18,3.2,0.28,13.02,2.15,0.31,11.46,2.71,0.35,7.98,4.39,0.57,8.7,6.55,0.43,9.37,4.59,2.17,3.93
sh.601390,中国中铁,0.169,5.27,3.21,0.18,5.79,3.11,0.196,5.56,3.53,0.2,5.68,3.52,0.21,6.39,3.29,0.356,5.48,6.5,1.311,3.86
sh.601398,工商银行,0.2628,4.99,5.27,0.266,4.63,5.75,0.2933,4.34,6.76,0.3035,4.78,6.35,0.5932,6.92,8.57,0.306,7.99,3.83,2.0248,6.09
sh.601528,瑞丰银行,0.0,0.0,0.0,0.0,11.28,0.0,0.18,6.31,2.85,0.15,4.95,3.03,0.18,5.63,3.2,0.2,5.48,3.65,0.71,3.18
sh.601555,东吴证券,0.13,9.86,1.32,0.157,8.86,1.77,0.168,6.53,2.57,0.158,7.31,2.16,0.263,7.8,3.37,0.375,9.1,4.12,1.251,2.55
sh.601567,三星医疗,0.21,6.65,3.16,0.35,16.31,2.15,0.32,13.48,2.37,0.35,20.5,1.71,0.65,30.76,2.11,1.375,23.14,5.94,3.255,2.91
sh.601577,长沙银行,0.32,9.52,3.36,0.32,7.81,4.1,0.35,6.76,5.18,0.35,6.82,5.13,0.38,8.89,4.27,0.62,9.54,6.5,2.34,4.76
sh.601598,中国外运,0.12,4.4,2.73,0.12,4.48,2.68,0.28,3.84,7.29,0.245,5.24,4.68,0.29,5.35,5.42,0.29,6.34,4.57,1.345,4.56
sh.601601,中国太保,1.2,38.4,3.12,1.2,27.12,4.42,1.0,24.52,4.08,1.02,23.78,4.29,1.02,34.08,2.99,1.08,38.24,2.82,6.52,3.62
sh.601619,嘉泽新能,0.043,3.4,1.26,0.055,5.16,1.07,0.1,3.77,2.65,0.08,3.53,2.27,0.12,3.32,3.61,0.16,4.26,3.76,0.558,2.44
sh.601666,平煤股份,0.302,5.93,5.09,0.36,8.37,4.3,0.76,10.81,7.03,0.87,11.56,7.53,0.99,10.02,9.88,0.6,7.8,7.69,3.882,6.92
sh.601668,中国建筑,0.185,4.97,3.72,0.2147,5.0,4.29,0.25,5.43,4.6,0.2527,4.81,5.25,0.2715,6.0,4.52,0.2715,5.28,5.14,1.4454,4.59
sh.601699,潞安环能,0.239,6.5,3.68,0.194,11.31,1.72,0.673,16.85,3.99,2.85,21.91,13.01,1.589,14.36,11.07,0.41,12.86,3.19,5.955,6.11
sh.601717,中创智领,0.185,10.93,1.69,0.2099,11.59,1.81,0.435,11.16,3.9,0.56,12.65,4.43,0.84,12.98,6.47,1.12,24.32,4.61,3.3499,3.82
sh.601728,中国电信,0.0,0.0,0.0,0.0,4.33,0.0,0.29,4.19,6.92,0.2192,5.41,4.05,0.2571,7.22,3.56,0.2739,6.82,4.02,1.0402,4.64
sh.601766,中国中车,0.15,5.31,2.82,0.18,6.09,2.96,0.18,5.11,3.52,0.2,5.26,3.8,0.2,8.38,2.39,0.32,7.06,4.53,1.23,3.34
sh.601811,新华文轩,0.3,9.09,3.3,0.31,9.07,3.42,0.32,9.92,3.23,0.52,13.66,3.81,0.59,15.85,3.72,0.6,13.88,4.32,2.64,3.63
sh.601816,京沪高铁,0.1056,5.66,1.87,0.0329,4.83,0.68,0.0491,4.92,1.0,0.0114,4.92,0.23,0.1116,6.16,1.81,0.1567,5.2,3.01,0.4673,1.43
sh.601825,沪农商行,0.0,0.0,0.0,0.26,6.75,3.85,0.3,5.88,5.1,0.342,5.74,5.96,0.618,8.51,7.26,0.675,9.52,7.09,2.195,5.85
sh.601838,成都银行,0.42,10.67,3.94,0.46,12.0,3.83,0.63,15.3,4.12,0.7679,11.26,6.82,0.8968,17.11,5.24,0.891,16.82,5.3,4.0657,4.88
sh.601857,中国石油,0.1534,4.15,3.7,0.2178,4.91,4.44,0.2988,4.97,6.01,0.43,7.06,6.09,0.45,8.94,5.03,0.47,9.85,4.77,2.02,5.01
sh.601881,中国银河,0.16,12.51,1.28,0.22,11.19,1.97,0.31,9.29,3.34,0.2253,12.05,1.87,0.304,15.23,2.0,0.642,16.22,3.96,1.8613,2.4
sh.601886,江河集团,0.3,5.81,5.16,0.4,6.59,6.07,0.1,7.74,1.29,0.02,6.66,0.3,0.35,5.4,6.48,0.55,7.92,6.94,1.72,4.37
sh.601898,中煤能源,0.127,4.45,2.85,0.134,6.29,2.13,0.301,8.62,3.49,0.413,9.69,4.26,0.663,12.18,5.44,0.424,13.43,3.16,2.062,3.56
sh.601900,南方传媒,0.25,8.28,3.02,0.31,8.56,3.62,0.33,8.31,3.97,0.47,12.99,3.62,0.54,15.11,3.57,0.55,13.45,4.09,2.45,3.65
sh.601916,浙商银行,0.24,4.08,5.88,0.161,3.5,4.6,0.0,2.94,0.0,0.21,2.52,8.33,0.164,2.91,5.64,0.156,3.08,5.06,0.931,5.9
sh.601919,中远海控,0.0,12.21,0.0,0.0,18.69,0.0,2.88,10.29,27.99,1.9,9.58,19.83,1.27,15.5,8.19,1.59,14.85,10.71,7.64,16.68
sh.601921,浙版传媒,0.0,0.0,0.0,0.0,9.63,0.0,0.32,7.4,4.32,0.35,7.64,4.58,0.39,7.88,4.95,0.4,7.97,5.02,1.46,4.72
sh.601928,凤凰传媒,0.3,6.33,4.74,0.4,8.09,4.94,0.5,7.92,6.31,0.5,8.81,5.68,0.5,11.54,4.33,0.6,10.31,5.82,2.8,5.3
sh.601939,建设银行,0.32,6.28,5.1,0.326,5.86,5.56,0.364,5.63,6.47,0.389,6.51,5.98,0.597,8.79,6.79,0.3918,9.31,4.21,2.3878,5.68
sh.601988,中国银行,0.191,3.18,6.01,0.197,3.05,6.46,0.221,3.16,6.99,0.232,3.99,5.81,0.478,5.51,8.68,0.231,5.83,3.96,1.55,6.32
