股票代码,股票名称,2020年分红,2020年收盘价,2020年股息率(%),2021年分红,2021年收盘价,2021年股息率(%),2022年分红,2022年收盘价,2022年股息率(%),2023年分红,2023年收盘价,2023年股息率(%),2024年分红,2024年收盘价,2024年股息率(%),2025年分红,2025年收盘价,2025年股息率(%),2020-2025年累计分红,2020-2025年平均股息率(%)
sz.003000,劲仔食品,0.1,14.69,0.68,0.2,10.81,1.85,0.15,11.79,1.27,0.22,12.22,1.8,0.4,13.7,2.92,0.4,11.56,3.46,1.47,2.0
sz.003008,开普检测,0.0,37.96,0.0,0.6,31.28,1.92,0.5,24.56,2.04,0.5,27.91,1.79,0.8,17.92,4.46,1.0,23.41,4.27,3.4,2.9
sz.003012,东鹏控股,0.0,14.4,0.0,0.3,13.72,2.19,0.2,7.86,2.54,0.1,8.25,1.21,0.3,6.61,4.54,0.25,6.84,3.65,1.15,2.83
sz.003013,地铁设计,0.0,18.56,0.0,0.66,20.08,3.29,0.4,15.45,2.59,0.45,16.39,2.75,0.49,15.12,3.24,0.48,15.0,3.2,2.48,3.01
sz.300099,尤洛卡,0.15,7.1,2.11,0.1,9.38,1.07,0.0,5.97,0.0,0.269,6.19,4.35,0.045,6.0,0.75,0.229,7.64,3.0,0.793,2.26
sz.300181,佐力药业,0.02,5.9,0.34,0.1,11.66,0.86,0.2,10.67,1.87,0.3,10.66,2.81,0.45,15.36,2.93,0.6,17.23,3.48,1.67,2.05
sz.300187,永清环保,0.218,6.78,3.22,0.0,7.57,0.0,0.08,5.71,1.4,0.0,5.38,0.0,0.06,5.05,1.19,0.167,5.4,3.09,0.525,2.23
sz.300232,洲明科技,0.015,9.41,0.16,0.02,8.94,0.22,0.025,5.49,0.46,0.015,8.8,0.17,0.0501,6.87,0.73,0.24,7.26,3.31,0.3651,0.84
sz.300306,远方信息,0.0,10.74,0.0,0.166,10.37,1.6,0.3,9.28,3.23,0.26,12.08,2.15,0.3,11.6,2.59,0.432,13.66,3.16,1.458,2.55
sz.300349,金卡智能,0.5022,12.65,3.97,0.475,12.05,3.94,0.1,9.37,1.07,0.1,12.42,0.81,0.5,13.67,3.66,0.5,13.57,3.68,2.1772,2.86
sz.300406,九强生物,0.15,25.02,0.6,0.0993,19.82,0.5,0.1,16.37,0.61,0.1,19.1,0.52,0.2,13.36,1.5,0.9,13.65,6.59,1.5493,1.72
sz.300441,鲍斯股份,0.0,9.07,0.0,0.15,11.29,1.33,0.15,5.45,2.75,0.05,6.89,0.73,0.22,8.72,2.52,0.3,7.79,3.85,0.87,2.24
sz.300453,三鑫医疗,0.1,17.58,0.57,0.4,12.63,3.17,0.15,8.62,1.74,0.15,7.63,1.97,0.25,7.46,3.35,0.3,9.21,3.26,1.35,2.34
sz.300529,健帆生物,0.9,67.82,1.33,0.66,53.3,1.24,0.9,30.97,2.91,0.67,22.23,3.01,0.4,29.34,1.36,0.8,20.12,3.98,4.33,2.31
sz.300564,筑博设计,0.35,24.5,1.43,0.5,21.95,2.28,0.6,11.61,5.17,0.625,13.46,4.64,0.5,12.36,4.05,0.5,15.8,3.16,3.075,3.46
sz.300616,尚品宅配,0.6,79.66,0.75,0.15,42.89,0.35,0.15,19.64,0.76,0.15,17.92,0.84,0.9,12.25,7.35,0.9,14.22,6.33,2.85,2.73
sz.300628,亿联网络,0.9,73.12,1.23,0.65,81.45,0.8,0.8,60.59,1.32,1.8,29.55,6.09,1.5,38.6,3.89,1.8,34.59,5.2,7.45,3.09
sz.300641,正丹股份,0.02,5.31,0.38,0.02,7.0,0.29,0.05,5.08,0.98,0.05,5.64,0.89,0.42,24.84,1.69,0.6,18.39,3.26,1.16,1.25
sz.300737,科顺股份,0.0,21.46,0.0,0.3,16.25,1.85,0.0,12.58,0.0,0.05,6.14,0.81,0.08,5.07,1.58,0.35,5.16,6.78,0.78,2.75
sz.300770,新媒股份,0.9,70.3,1.28,0.8,60.0,1.33,1.2,37.66,3.19,2.16,38.68,5.58,1.86,40.41,4.6,1.76,43.4,4.06,8.68,3.34
sz.300833,浩洋股份,0.0,45.77,0.0,0.4,81.03,0.49,0.8,83.84,0.95,2.2,90.1,2.44,2.4,44.15,5.44,1.3,42.39,3.07,7.1,2.48
sz.300861,美畅股份,0.0,53.21,0.0,0.5,77.77,0.64,1.0,49.16,2.03,0.5,33.29,1.5,0.3,19.95,1.5,0.5,15.02,3.33,2.8,1.8
sz.300864,南大环境,0.0,93.54,0.0,1.0,45.41,2.2,0.8,18.5,4.32,0.6,21.91,2.74,0.8,20.97,3.81,0.85,20.17,4.21,4.05,3.46
