股票代码,股票名称,2025年累计分红,2025-11-28收盘价,股息率(%)
sh.600571,信雅达,0.047,16.49,0.29
sh.600572,康恩贝,0.15,4.62,3.25
sh.600573,惠泉啤酒,0.08,12.15,0.66
sh.600575,淮河能源,0.0,3.63,0.0
sh.600576,祥源文旅,0.0,7.39,0.0
sh.600577,精达股份,0.08,10.45,0.77
sh.600578,京能电力,0.12,4.56,2.63
sh.600579,中化装备,0.0,8.93,0.0
sh.600580,卧龙电驱,0.15,41.55,0.36
sh.600581,八一钢铁,0.0,3.59,0.0
sh.600582,天地科技,0.317,5.94,5.34
sh.600583,海油工程,0.201,5.41,3.72
sh.600584,长电科技,0.15,35.91,0.42
sh.600585,海螺水泥,0.95,22.85,4.16
sh.600586,金晶科技,0.015,5.78,0.26
sh.600587,新华医疗,0.5,15.02,3.33
sh.600588,用友网络,0.0,14.26,0.0
sh.600589,大位科技,0.0,7.87,0.0
sh.600590,泰豪科技,0.0,8.93,0.0
sh.600592,龙溪股份,0.085,25.6,0.33
sh.600593,大连圣亚,0.0,47.12,0.0
sh.600594,益佰制药,0.0,4.23,0.0
sh.600595,中孚实业,0.0,6.74,0.0
sh.600596,新安股份,0.1,11.29,0.89
sh.600597,光明乳业,0.16,8.23,1.94
sh.600598,北大荒,0.55,14.84,3.71
sh.600599,*ST熊猫,0.0,10.35,0.0
sh.600600,青岛啤酒,2.2,63.55,3.46
sh.600601,方正科技,0.0,11.99,0.0
sh.600602,云赛智联,0.045,18.89,0.24
sh.600603,广汇物流,0.0,6.93,0.0
sh.600604,市北高新,0.01,6.05,0.17
sh.600605,汇通能源,0.14,30.09,0.47
sh.600606,绿地控股,0.0,1.73,0.0
sh.600608,*ST沪科,0.0,4.3,0.0
sh.600609,金杯汽车,0.0,4.93,0.0
sh.600610,中毅达,0.0,10.22,0.0
sh.600611,大众交通,0.05,5.46,0.92
sh.600612,老凤祥,2.05,44.75,4.58
sh.600613,神奇制药,0.15,6.86,2.19
sh.600615,鑫源智造,0.0,11.91,0.0
sh.600616,金枫酒业,0.05,5.65,0.88
sh.600617,国新能源,0.0,3.43,0.0
sh.600618,氯碱化工,0.21,13.36,1.57
sh.600619,海立股份,0.013,21.72,0.06
sh.600620,天宸股份,0.015,6.29,0.24
sh.600621,华鑫股份,0.117,15.38,0.76
sh.600622,光大嘉宝,0.0,3.19,0.0
sh.600623,华谊集团,0.18,7.8,2.31
sh.600624,ST复华,0.0,5.77,0.0
sh.600626,申达股份,0.0,4.7,0.0
sh.600628,新世界,0.04,7.69,0.52
sh.600629,华建集团,0.122,22.13,0.55
sh.600630,龙头股份,0.038,10.23,0.37
sh.600633,浙数文化,0.24,13.18,1.82
sh.600635,大众公用,0.036,8.23,0.44
sh.600636,*ST国化,0.05,8.57,0.58
sh.600637,东方明珠,0.23,9.72,2.37
sh.600638,新黄浦,0.037,5.86,0.63
sh.600639,浦东金桥,0.3227,10.49,3.08
sh.600640,国脉文化,0.009,13.57,0.07
sh.600641,先导基电,0.0432,16.95,0.26
sh.600642,申能股份,0.45,8.4,5.36
sh.600643,爱建集团,0.0,5.46,0.0
sh.600644,乐山电力,0.0,10.34,0.0
sh.600645,中源协和,0.0,28.41,0.0
sh.600648,外高桥,0.35,10.83,3.23
sh.600649,城投控股,0.04,4.32,0.93
sh.600650,锦江在线,0.11,14.23,0.77
sh.600651,飞乐音响,0.0,8.38,0.0
sh.600653,申华控股,0.0,2.02,0.0
sh.600654,中安科,0.0,4.15,0.0
sh.600655,豫园股份,0.19,5.36,3.54
sh.600657,信达地产,0.0,3.95,0.0
sh.600658,电子城,0.0,5.53,0.0
sh.600660,福耀玻璃,2.7,65.88,4.1
sh.600661,昂立教育,0.0,10.88,0.0
sh.600662,外服控股,0.24,5.21,4.61
sh.600663,陆家嘴,0.1503,8.17,1.84
sh.600664,哈药股份,0.0,3.6,0.0
sh.600665,天地源,0.0,3.69,0.0
sh.600666,奥瑞德,0.0,3.45,0.0
sh.600667,太极实业,0.095,7.99,1.19
sh.600668,尖峰集团,0.1,11.64,0.86
sh.600671,天目药业,0.0,17.32,0.0
sh.600673,东阳光,0.0,21.18,0.0
sh.600674,川投能源,0.4,14.58,2.74
sh.600675,中华企业,0.0,2.86,0.0
sh.600676,交运股份,0.0,6.02,0.0
sh.600678,四川金顶,0.0,11.1,0.0
sh.600679,上海凤凰,0.0,13.99,0.0
sh.600681,百川能源,0.235,4.26,5.52
sh.600682,南京新百,0.016,7.83,0.2
sh.600683,京投发展,0.0,4.72,0.0
sh.600684,珠江股份,0.0,4.62,0.0
sh.600685,中船防务,0.15,29.86,0.5
sh.600686,金龙汽车,0.11,15.97,0.69
sh.600688,上海石化,0.02,2.72,0.74
sh.600689,上海三毛,0.015,15.1,0.1
sh.600690,海尔智家,1.2342,27.58,4.48
sh.600691,潞化科技,0.0,3.15,0.0
sh.600692,亚通股份,0.0,8.18,0.0
sh.600693,东百集团,0.08,9.98,0.8
sh.600694,大商股份,1.0,17.68,5.66
sh.600696,*ST岩石,0.0,4.92,0.0
sh.600697,欧亚集团,0.1,13.59,0.74
sh.600698,湖南天雁,0.0,9.4,0.0
sh.600699,均胜电子,0.26,26.72,0.97
sh.600702,舍得酒业,0.43,62.6,0.69
sh.600703,三安光电,0.02,13.2,0.15
sh.600704,物产中大,0.21,5.39,3.9
sh.600706,曲江文旅,0.0,10.91,0.0
sh.600707,彩虹股份,0.0,5.57,0.0
sh.600708,光明地产,0.0,3.49,0.0
sh.600710,苏美达,0.369,10.62,3.47
sh.600711,盛屯矿业,0.15,12.34,1.22
sh.600712,南宁百货,0.0,7.28,0.0
sh.600713,南京医药,0.17,5.06,3.36
sh.600714,金瑞矿业,0.07,12.09,0.58
sh.600715,文投控股,0.0,2.52,0.0
sh.600716,凤凰股份,0.0,3.98,0.0
sh.600717,天津港,0.104,4.55,2.29
sh.600718,东软集团,0.15,10.41,1.44
sh.600719,大连热电,0.0,6.17,0.0
sh.600720,中交设计,0.229,7.49,3.06
sh.600721,百花医药,0.0,10.11,0.0
sh.600722,金牛化工,0.0,6.33,0.0
sh.600724,宁波富达,0.14,5.3,2.64
sh.600725,云维股份,0.0,3.8,0.0
sh.600726,华电能源,0.0,2.52,0.0
sh.600727,鲁北化工,0.05,7.2,0.69
sh.600728,佳都科技,0.0,6.51,0.0
sh.600729,重庆百货,1.3622,27.58,4.94
sh.600730,中国高科,0.01,12.61,0.08
sh.600731,湖南海利,0.2,7.01,2.85
sh.600732,爱旭股份,0.0,13.53,0.0
sh.600733,北汽蓝谷,0.0,7.84,0.0
sh.600734,实达集团,0.0,5.08,0.0
sh.600735,ST新华锦,0.0,6.22,0.0
sh.600736,苏州高新,0.018,5.6,0.32
