股票代码,股票名称,2025年累计分红,2025-11-28收盘价,股息率(%)
sh.603229,奥翔药业,0.1,9.86,1.01
sh.603230,内蒙新华,0.48,12.6,3.81
sh.603231,索宝蛋白,0.3,19.68,1.52
sh.603232,格尔软件,0.05,26.32,0.19
sh.603233,大参林,0.65,17.67,3.68
sh.603235,天新药业,0.68,26.74,2.54
sh.603236,移远通信,0.97,88.75,1.09
sh.603237,五芳斋,0.5,16.98,2.94
sh.603238,诺邦股份,0.3,17.65,1.7
sh.603239,浙江仙通,0.21,18.74,1.12
sh.603255,鼎际得,0.0,34.76,0.0
sh.603256,宏和科技,0.0,32.13,0.0
sh.603257,中国瑞林,0.5,58.67,0.85
sh.603258,电魂网络,0.0,19.98,0.0
sh.603259,药明康德,1.3317,91.19,1.46
sh.603260,合盛硅业,0.45,56.3,0.8
sh.603261,*ST立航,0.0,25.27,0.0
sh.603262,技源集团,0.0,27.53,0.0
sh.603266,天龙股份,0.17,20.0,0.85
sh.603267,鸿远电子,0.27,46.8,0.58
sh.603268,*ST松发,0.0,73.16,0.0
sh.603269,海鸥股份,0.3,12.51,2.4
sh.603270,金帝股份,0.25,24.3,1.03
sh.603271,永杰新材,0.505,38.4,1.32
sh.603272,联翔股份,0.1,20.16,0.5
sh.603273,天元智能,0.055,19.02,0.29
sh.603275,众辰科技,0.1695,41.51,0.41
sh.603276,恒兴新材,0.125,17.6,0.71
sh.603277,银都股份,0.85,16.72,5.08
sh.603278,大业股份,0.0,9.41,0.0
sh.603279,景津装备,0.9,16.63,5.41
sh.603280,南方路机,0.26,42.38,0.61
sh.603281,江瀚新材,1.0,27.65,3.62
sh.603282,亚光股份,0.235,20.11,1.17
sh.603283,赛腾股份,0.56,42.28,1.32
sh.603285,键邦股份,0.2,24.67,0.81
sh.603286,日盈电子,0.03,49.93,0.06
sh.603288,海天味业,1.12,36.96,3.03
sh.603289,泰瑞机器,0.15,10.03,1.5
sh.603290,斯达半导,0.636,94.45,0.67
sh.603291,联合水务,0.15,10.65,1.41
sh.603296,华勤技术,0.9,87.73,1.03
sh.603297,永新光学,0.85,96.57,0.88
sh.603298,杭叉集团,0.7,25.26,2.77
sh.603299,苏盐井神,0.443,10.35,4.28
sh.603300,海南华铁,0.0253,7.44,0.34
sh.603301,振德医疗,0.65,79.28,0.82
sh.603303,得邦照明,1.381,13.3,10.38
sh.603305,旭升集团,0.38,13.38,2.84
sh.603306,华懋科技,0.095,46.03,0.21
sh.603307,扬州金泉,1.0,42.29,2.36
sh.603308,应流股份,0.07,37.47,0.19
sh.603309,维力医疗,0.5,13.67,3.66
sh.603310,巍华新材,0.3,17.08,1.76
sh.603311,金海高科,0.12,12.06,1.0
sh.603312,西典新能,1.17,48.8,2.4
sh.603313,梦百合,0.0,9.2,0.0
sh.603315,福鞍股份,0.083,15.15,0.55
sh.603316,诚邦股份,0.0,15.19,0.0
sh.603317,天味食品,0.55,12.9,4.26
sh.603318,水发燃气,0.068,6.81,1.0
sh.603319,美湖股份,0.21,36.73,0.57
sh.603320,迪贝电气,0.14,18.8,0.74
sh.603321,梅轮电梯,0.2,8.03,2.49
sh.603322,超讯通信,0.0,47.89,0.0
sh.603323,苏农银行,0.27,5.2,5.19
sh.603324,盛剑科技,0.125,23.64,0.53
sh.603325,博隆技术,0.75,79.82,0.94
sh.603326,我乐家居,0.65,9.58,6.78
sh.603327,福蓉科技,0.25,9.99,2.5
sh.603328,依顿电子,0.198,10.64,1.86
sh.603329,上海雅仕,0.03,11.68,0.26
sh.603330,天洋新材,0.0,7.68,0.0
sh.603331,百达精工,0.08,11.66,0.69
sh.603332,苏州龙杰,0.22,13.0,1.69
sh.603333,尚纬股份,0.01,7.85,0.13
sh.603334,丰倍生物,0.0,43.49,0.0
sh.603335,迪生力,0.0,6.27,0.0
sh.603336,宏辉果蔬,0.005,9.53,0.05
sh.603337,杰克科技,0.5,39.35,1.27
sh.603338,浙江鼎力,1.0,56.3,1.78
sh.603339,四方科技,0.236,12.88,1.83
sh.603341,龙旗科技,0.5,40.45,1.24
sh.603344,星德胜,0.31,25.34,1.22
sh.603345,安井食品,2.44,81.45,3.0
sh.603348,文灿股份,0.15,20.87,0.72
sh.603350,安乃达,0.7,37.12,1.89
sh.603351,威尔药业,0.4,28.83,1.39
sh.603353,和顺石油,0.2,33.03,0.61
sh.603355,莱克电气,0.0,31.27,0.0
sh.603356,华菱精工,0.0,14.35,0.0
sh.603357,设计总院,0.35,8.31,4.21
sh.603358,华达科技,0.5,41.48,1.21
sh.603359,东珠生态,0.0,7.98,0.0
sh.603360,百傲化学,0.6,33.75,1.78
sh.603363,傲农生物,0.0,4.91,0.0
sh.603365,水星家纺,0.9,21.45,4.2
sh.603366,日出东方,0.054,9.5,0.57
sh.603367,辰欣药业,0.408,18.7,2.18
sh.603368,柳药集团,0.751,17.93,4.19
sh.603369,今世缘,1.2,37.79,3.18
sh.603370,华新精科,0.0,46.0,0.0
sh.603373,安邦护卫,0.7,42.64,1.64
sh.603375,盛景微,0.1001,39.56,0.25
sh.603376,大明电子,0.0,38.95,0.0
sh.603377,ST东时,0.0,4.02,0.0
sh.603378,亚士创能,0.0,7.0,0.0
sh.603379,三美股份,0.77,52.17,1.48
sh.603380,易德龙,1.0,35.9,2.79
sh.603381,永臻股份,0.56,20.61,2.72
sh.603382,海阳科技,0.2,30.64,0.65
sh.603383,顶点软件,0.8,37.76,2.12
sh.603385,惠达卫浴,0.11,7.17,1.53
sh.603386,骏亚科技,0.0,12.45,0.0
sh.603387,基蛋生物,0.18,8.39,2.15
sh.603389,*ST亚振,0.0,40.81,0.0
sh.603390,通达电气,0.09,12.49,0.72
sh.603391,力聚热能,1.25,65.03,1.92
sh.603392,万泰生物,0.0,48.02,0.0
sh.603393,新天然气,0.0,27.39,0.0
sh.603395,红四方,0.15,32.14,0.47
sh.603396,金辰股份,0.15,34.9,0.43
sh.603398,*ST沐邦,0.0,9.5,0.0
sh.603399,永杉锂业,0.0,11.77,0.0
sh.603400,华之杰,0.4,53.76,0.74
sh.603406,天富龙,0.5,41.28,1.21
sh.603408,建霖家居,0.5,13.01,3.84
sh.603409,汇通控股,0.5,34.05,1.47
sh.603416,信捷电气,1.46,53.67,2.72
sh.603418,友升股份,0.0,54.96,0.0
sh.603421,鼎信通讯,0.0,7.96,0.0
sh.603429,集友股份,0.0,10.82,0.0
sh.603439,贵州三力,0.34,11.98,2.84
sh.603444,吉比特,16.1,429.18,3.75
sh.603456,九洲药业,0.5,18.64,2.68
sh.603458,勘设股份,0.0,8.22,0.0
sh.603466,风语筑,0.2,9.98,2.0
sh.603477,巨星农牧,0.1737,17.67,0.98
sh.603486,科沃斯,0.45,78.58,0.57
sh.603488,展鹏科技,0.03,8.25,0.36
sh.603489,八方股份,0.1,33.9,0.29
sh.603496,恒为科技,0.025,28.93,0.09
sh.603499,翔港科技,0.2,21.46,0.93
sh.603500,祥和实业,0.13,11.44,1.14
sh.603501,豪威集团,0.62,119.47,0.52
sh.603505,金石资源,0.12,17.62,0.68
sh.603506,南都物业,0.0,12.44,0.0
sh.603507,振江股份,0.3,23.9,1.26
sh.603508,思维列控,3.2883,30.98,10.61
sh.603511,爱慕股份,0.4,15.86,2.52
sh.603515,欧普照明,0.9,17.61,5.11
sh.603516,淳中科技,0.25,177.95,0.14
sh.603517,ST绝味,0.33,13.36,2.47
sh.603518,锦泓集团,0.31,9.98,3.11
sh.603519,立霸股份,1.0,12.67,7.89
sh.603520,司太立,0.15,10.07,1.49
sh.603527,众源新材,0.16,10.65,1.5
sh.603528,多伦科技,0.05,9.36,0.53
sh.603529,爱玛科技,1.22,30.81,3.96
sh.603530,神马电力,0.46,40.8,1.13
sh.603533,掌阅科技,0.1,22.86,0.44
sh.603535,嘉诚国际,0.09,10.68,0.84
sh.603536,惠发食品,0.0,13.21,0.0
sh.603538,美诺华,0.05,20.14,0.25
sh.603551,奥普科技,0.85,11.64,7.3
sh.603556,海兴电力,0.7,33.72,2.08
sh.603557,ST起步,0.0,2.63,0.0
sh.603558,健盛集团,0.55,11.42,4.82
sh.603559,ST通脉,0.0,8.2,0.0
sh.603565,中谷物流,1.22,10.26,11.89
sh.603566,普莱柯,0.6,13.45,4.46
sh.603567,珍宝岛,0.15,10.42,1.44
sh.603568,伟明环保,0.48,22.6,2.12
sh.603569,长久物流,0.36,7.93,4.54
sh.603577,汇金通,0.0868,9.58,0.91
sh.603578,三星新材,0.0,12.97,0.0
sh.603579,荣泰健康,0.35,24.22,1.45
sh.603580,*ST艾艾,0.082,16.0,0.51
sh.603583,捷昌驱动,0.3,35.38,0.85
sh.603585,苏利股份,0.0,18.2,0.0
sh.603586,金麒麟,0.5,18.2,2.75
sh.603587,地素时尚,0.5,13.25,3.77
sh.603588,高能环境,0.07,7.11,0.98
sh.603589,口子窖,1.3,30.64,4.24
sh.603590,康辰药业,0.6,44.68,1.34
sh.603595,ST东尼,0.015,17.41,0.09
sh.603596,伯特利,0.35,44.98,0.78
sh.603598,引力传媒,0.0,18.25,0.0
sh.603599,广信股份,0.27,11.32,2.39
sh.603600,永艺股份,0.46,12.38,3.72
sh.603601,再升科技,0.03,5.06,0.59
sh.603602,纵横通信,0.07,15.03,0.47
sh.603605,珀莱雅,1.99,70.35,2.83
sh.603606,东方电缆,0.45,57.8,0.78
sh.603607,京华激光,0.5,25.05,2.0
sh.603608,天创时尚,0.0,7.1,0.0
sh.603609,禾丰股份,0.058,7.57,0.77
sh.603610,麒盛科技,0.1,18.95,0.53
sh.603611,诺力股份,0.897,23.0,3.9
sh.603612,索通发展,0.21,23.94,0.88
sh.603613,国联股份,0.066,27.69,0.24
sh.603615,茶花股份,0.0,24.72,0.0
sh.603616,韩建河山,0.0,5.82,0.0
sh.603617,君禾股份,0.08,7.46,1.07
sh.603618,杭电股份,0.06,7.92,0.76
sh.603619,中曼石油,0.5,22.46,2.23
sh.603626,科森科技,0.0,13.16,0.0
sh.603628,清源股份,0.066,14.16,0.47
sh.603629,利通电子,0.13,26.5,0.49
sh.603630,拉芳家化,0.09,20.95,0.43
sh.603633,徕木股份,0.027,11.35,0.24
sh.603636,南威软件,0.0,14.43,0.0
sh.603637,镇海股份,0.2,10.65,1.88
sh.603638,艾迪精密,0.15,20.14,0.74
sh.603639,海利尔,0.5,12.76,3.92
sh.603648,畅联股份,0.3,10.41,2.88
sh.603650,彤程新材,0.5,39.61,1.26
sh.603655,朗博科技,0.19,38.87,0.49
sh.603656,泰禾智能,0.05,22.99,0.22
sh.603657,春光科技,0.035,37.27,0.09
sh.603658,安图生物,1.26,36.57,3.45
sh.603659,璞泰来,0.17,26.66,0.64
sh.603660,苏州科达,0.0,9.75,0.0
sh.603661,恒林股份,1.27,33.17,3.83
sh.603662,柯力传感,0.278,62.2,0.45
sh.603663,三祥新材,0.075,31.45,0.24
sh.603665,康隆达,0.0,31.77,0.0
sh.603666,亿嘉和,0.0,30.34,0.0
sh.603667,五洲新春,0.12,44.91,0.27
sh.603668,天马科技,0.0,15.04,0.0
sh.603669,灵康药业,0.0,5.26,0.0
sh.603676,卫信康,0.327,11.3,2.89
sh.603677,奇精机械,0.25,19.27,1.3
sh.603678,火炬电子,0.22,31.1,0.71
sh.603679,华体科技,0.0,15.93,0.0
sh.603680,今创集团,0.3,10.63,2.82
sh.603681,永冠新材,0.15,17.68,0.85
sh.603682,锦和商管,0.33,6.18,5.34
sh.603683,晶华新材,0.09,26.2,0.34
sh.603685,晨丰科技,0.008,21.19,0.04
sh.603686,福龙马,0.158,27.57,0.57
sh.603687,大胜达,0.0585,9.15,0.64
sh.603688,石英股份,0.19,36.44,0.52
sh.603689,皖天然气,0.4,8.24,4.85
sh.603690,至纯科技,0.0501,28.8,0.17
sh.603693,江苏新能,0.15,12.02,1.25
sh.603696,安记食品,0.09,12.96,0.69
sh.603697,有友食品,0.44,13.05,3.37
sh.603698,航天工程,0.163,18.86,0.86
sh.603699,纽威股份,1.72,49.23,3.49
sh.603700,宁水集团,0.2,12.94,1.55
sh.603701,德宏股份,0.04,17.57,0.23
sh.603703,盛洋科技,0.0,11.74,0.0
sh.603706,东方环宇,0.9,20.32,4.43
sh.603707,健友股份,0.1,9.69,1.03
sh.603708,家家悦,0.24,11.52,2.08
sh.603709,中源家居,0.0,15.66,0.0
sh.603711,香飘飘,0.25,14.14,1.77
sh.603712,七一二,0.0,21.84,0.0
sh.603713,密尔克卫,0.71,54.17,1.31
sh.603716,塞力医疗,0.0,21.59,0.0
sh.603717,天域生物,0.0,8.85,0.0
sh.603718,海利生物,0.0784,6.79,1.15
sh.603719,良品铺子,0.249,12.31,2.02
sh.603721,*ST天择,0.0,19.48,0.0
sh.603722,阿科力,0.1,39.3,0.25
sh.603725,天安新材,0.1,9.37,1.07
sh.603726,朗迪集团,0.4,23.15,1.73
sh.603727,博迈科,0.25,15.36,1.63
sh.603728,鸣志电器,0.024,66.29,0.04
sh.603729,龙韵股份,0.01,17.9,0.06
sh.603730,岱美股份,0.35,8.18,4.28
sh.603733,仙鹤股份,0.5,23.0,2.17
sh.603737,三棵树,0.82,44.2,1.86
sh.603738,泰晶科技,0.08,16.09,0.5
sh.603739,蔚蓝生物,0.1,15.3,0.65
sh.603755,日辰股份,0.2,37.37,0.54
sh.603757,大元泵业,0.7,36.92,1.9
sh.603758,秦安股份,0.0,17.9,0.0
sh.603759,海天股份,0.0,10.79,0.0
sh.603766,隆鑫通用,0.4,14.37,2.78
sh.603767,中马传动,0.2,23.36,0.86
sh.603768,常青股份,0.058,12.15,0.48
sh.603773,沃格光电,0.05,30.01,0.17
sh.603776,永安行,0.25,19.42,1.29
sh.603777,来伊份,0.0,13.6,0.0
sh.603778,国晟科技,0.0,11.59,0.0
sh.603779,威龙股份,0.009,7.02,0.13
sh.603786,科博达,0.65,72.8,0.89
sh.603787,新日股份,0.2,14.17,1.41
sh.603788,宁波高发,0.7,16.03,4.37
sh.603789,*ST星农,0.0,5.89,0.0
sh.603790,雅运股份,0.12,19.67,0.61
sh.603797,联泰环保,0.09,4.85,1.86
sh.603798,康普顿,0.11,15.69,0.7
sh.603799,华友钴业,0.5,61.83,0.81
sh.603800,洪田股份,0.1,46.35,0.22
sh.603801,志邦家居,0.6,9.25,6.49
sh.603803,瑞斯康达,0.0,10.39,0.0
sh.603806,福斯特,0.26,14.11,1.84
sh.603808,歌力思,0.05,8.95,0.56
sh.603809,豪能股份,0.2,12.37,1.62
sh.603810,丰山集团,0.0,17.34,0.0
sh.603811,诚意药业,0.25,11.14,2.24
sh.603813,*ST原尚,0.0,39.15,0.0
sh.603815,交建股份,0.065,12.16,0.53
sh.603816,顾家家居,1.38,31.63,4.36
sh.603817,海峡环保,0.06,7.47,0.8
sh.603818,曲美家居,0.0,3.97,0.0
sh.603819,神力股份,0.02,11.6,0.17
sh.603822,嘉澳环保,0.0,81.7,0.0
sh.603823,百合花,0.15,17.0,0.88
sh.603825,ST华扬,0.0,9.56,0.0
sh.603826,坤彩科技,0.0,17.84,0.0
sh.603828,ST柯利达,0.0,7.03,0.0
sh.603829,洛凯股份,0.125,25.09,0.5
sh.603833,欧派家居,2.48,53.19,4.66
sh.603836,海程邦达,0.15,14.75,1.02
sh.603838,*ST四通,0.0,7.73,0.0
sh.603839,安正时尚,0.1,8.48,1.18
sh.603843,*ST正平,0.0,8.66,0.0
sh.603848,好太太,0.2,19.69,1.02
sh.603855,华荣股份,1.0,19.12,5.23
sh.603856,东宏股份,0.217,12.99,1.67
sh.603858,步长制药,0.39,16.97,2.3
sh.603859,能科科技,0.02,40.38,0.05
sh.603860,中公高科,0.1673,31.89,0.52
sh.603861,白云电器,0.1455,11.83,1.23
sh.603863,松炀资源,0.0,19.2,0.0
sh.603866,桃李面包,0.13,5.52,2.36
sh.603867,新化股份,0.45,27.65,1.63
sh.603868,飞科电器,0.5,35.07,1.43
sh.603869,ST智知,0.0133,10.28,0.13
sh.603871,嘉友国际,0.6,13.77,4.36
sh.603876,鼎胜新材,0.1,13.58,0.74
sh.603877,太平鸟,0.4,16.36,2.44
sh.603878,武进不锈,0.09,10.54,0.85
sh.603879,永悦科技,0.0,5.93,0.0
sh.603880,南卫股份,0.0,6.86,0.0
sh.603881,数据港,0.067,35.69,0.19
sh.603882,金域医学,0.88,29.54,2.98
sh.603883,老百姓,0.22,15.92,1.38
sh.603885,吉祥航空,0.1,12.78,0.78
sh.603886,元祖股份,1.0,12.85,7.78
sh.603887,城地香江,0.0,14.95,0.0
sh.603888,新华网,0.136,20.6,0.66
sh.603889,新澳股份,0.3,7.66,3.92
sh.603890,春秋电子,0.15,16.29,0.92
sh.603893,瑞芯微,0.65,182.96,0.36
sh.603895,天永智能,0.0,29.8,0.0
sh.603896,寿仙谷,0.27,20.11,1.34
sh.603897,长城科技,1.8,26.57,6.77
sh.603898,好莱客,0.078,13.08,0.6
sh.603899,晨光股份,1.0,27.68,3.61
sh.603900,莱绅通灵,0.1,9.14,1.09
sh.603901,永创智能,0.015,13.81,0.11
sh.603903,中持股份,0.0,17.19,0.0
sh.603906,龙蟠科技,0.0,20.88,0.0
sh.603908,牧高笛,0.65,25.02,2.6
sh.603909,建发合诚,0.12,12.91,0.93
sh.603912,佳力图,0.08,8.39,0.95
sh.603915,国茂股份,0.24,16.97,1.41
sh.603916,苏博特,0.1,9.64,1.04
sh.603917,合力科技,0.15,14.14,1.06
sh.603918,金桥信息,0.0,17.7,0.0
sh.603919,金徽酒,0.5,20.66,2.42
sh.603920,世运电路,0.6,40.77,1.47
sh.603922,金鸿顺,0.0,20.29,0.0
sh.603926,铁流股份,0.26,14.95,1.74
sh.603927,中科软,0.39,19.89,1.96
sh.603928,兴业股份,0.16,15.52,1.03
sh.603929,亚翔集成,2.0,60.96,3.28
sh.603931,格林达,0.22,34.22,0.64
sh.603933,睿能科技,0.06,23.02,0.26
sh.603936,博敏电子,0.0,10.8,0.0
sh.603937,丽岛新材,0.0,12.71,0.0
sh.603938,三孚股份,0.017,18.14,0.09
sh.603939,益丰药房,0.7,22.62,3.09
sh.603948,建业股份,1.0,26.71,3.74
sh.603949,雪龙集团,0.1,18.56,0.54
sh.603950,长源东谷,0.123,30.91,0.4
sh.603955,大千生态,0.05,30.59,0.16
sh.603956,威派格,0.0,6.89,0.0
sh.603958,哈森股份,0.0,15.74,0.0
sh.603959,百利科技,0.0,6.5,0.0
sh.603960,克来机电,0.057,19.25,0.3
sh.603966,法兰泰克,0.23,11.22,2.05
sh.603967,中创物流,0.6,11.53,5.2
sh.603968,醋化股份,0.0,11.8,0.0
sh.603969,银龙股份,0.08,9.79,0.82
sh.603970,中农立华,0.45,13.14,3.42
sh.603976,正川股份,0.246,21.05,1.17
sh.603977,国泰集团,0.09,12.17,0.74
sh.603978,深圳新星,0.0,33.12,0.0
sh.603979,金诚信,0.45,63.2,0.71
sh.603980,吉华集团,0.07,5.37,1.3
sh.603982,泉峰汽车,0.0,8.79,0.0
sh.603983,丸美生物,0.75,35.43,2.12
sh.603985,恒润股份,0.0,14.27,0.0
sh.603986,兆易创新,0.34,203.0,0.17
sh.603987,康德莱,0.15,8.71,1.72
sh.603988,中电电机,0.04,24.68,0.16
sh.603989,艾华集团,0.15,16.85,0.89
sh.603990,麦迪科技,0.0,15.69,0.0
sh.603991,至正股份,0.0,70.62,0.0
sh.603992,松霖科技,0.37,28.86,1.28
sh.603993,洛阳钼业,0.255,16.23,1.57
sh.603995,甬金股份,0.8,17.15,4.66
sh.603997,继峰股份,0.0,13.35,0.0
sh.603998,方盛制药,0.35,11.45,3.06
sh.603999,读者传媒,0.033,7.95,0.42
sh.605001,威奥股份,0.2,7.6,2.63
sh.605003,众望布艺,0.41,25.91,1.58
sh.605005,合兴股份,0.2,19.1,1.05
sh.605006,山东玻纤,0.0,7.37,0.0
sh.605007,五洲特纸,0.25,11.77,2.12
sh.605008,长鸿高科,0.0,15.7,0.0
sh.605009,豪悦护理,0.85,32.29,2.63
sh.605011,杭州热电,0.22,20.63,1.07
sh.605016,百龙创园,0.24,21.2,1.13
sh.605018,长华集团,0.15,11.19,1.34
sh.605020,永和股份,0.25,25.33,0.99
sh.605028,世茂能源,0.5,30.19,1.66
sh.605033,美邦股份,0.15,20.1,0.75
sh.605050,福然德,0.15,13.37,1.12
sh.605055,迎丰股份,0.06,9.03,0.66
sh.605056,咸亨国际,0.36,19.0,1.89
sh.605058,澳弘电子,0.6,30.1,1.99
sh.605060,联德股份,0.35,36.17,0.97
sh.605066,天正电气,0.25,7.35,3.4
sh.605068,明新旭腾,0.0,26.94,0.0
sh.605069,正和生态,0.0,10.29,0.0
sh.605077,华康股份,0.7,16.01,4.37
sh.605080,浙江自然,0.197,23.4,0.84
sh.605081,*ST太和,0.0,9.98,0.0
sh.605086,龙高股份,0.188,33.99,0.55
sh.605088,冠盛股份,0.6,33.26,1.8
sh.605089,味知香,0.36,27.79,1.3
sh.605090,九丰能源,1.2307,33.5,3.67
sh.605098,行动教育,2.25,40.42,5.57
sh.605099,共创草坪,0.64,36.25,1.77
sh.605100,华丰股份,0.3,44.72,0.67
sh.605108,同庆楼,0.12,18.95,0.63
sh.605111,新洁能,0.0651,34.64,0.19
sh.605116,奥锐特,0.29,22.65,1.28
sh.605117,德业股份,3.708,81.0,4.58
sh.605118,力鼎光电,0.61,27.8,2.19
sh.605122,四方新材,0.0,13.28,0.0
sh.605123,派克新材,0.758,69.04,1.1
sh.605128,上海沿浦,0.388,36.39,1.07
sh.605133,嵘泰股份,0.15,38.51,0.39
sh.605136,丽人丽妆,0.0,11.05,0.0
sh.605138,盛泰集团,0.055,7.41,0.74
sh.605151,西上海,0.08,20.1,0.4
sh.605155,西大门,0.25,16.45,1.52
sh.605158,华达新材,0.15,8.32,1.8
sh.605162,新中港,0.18,9.15,1.97
sh.605166,聚合顺,0.133,11.1,1.2
sh.605167,利柏特,0.113,10.09,1.12
sh.605168,三人行,0.72,29.73,2.42
sh.605169,洪通燃气,0.25,13.83,1.81
sh.605177,东亚药业,0.0,20.39,0.0
sh.605178,时空科技,0.0,62.25,0.0
sh.605179,一鸣食品,0.04,21.96,0.18
sh.605180,华生科技,0.13,15.99,0.81
sh.605183,确成股份,0.3,19.29,1.56
sh.605186,健麾信息,0.0,21.03,0.0
sh.605188,国光连锁,0.01,23.29,0.04
sh.605189,富春染织,0.18,16.04,1.12
sh.605196,华通线缆,0.0635,32.52,0.2
sh.605198,安德利,0.25,38.88,0.64
sh.605199,ST葫芦娃,0.0,9.34,0.0
sh.605208,永茂泰,0.039,13.4,0.29
sh.605218,伟时电子,0.055,19.6,0.28
sh.605222,起帆电缆,0.04,16.73,0.24
sh.605228,神通科技,0.027,14.88,0.18
sh.605255,天普股份,0.225,147.0,0.15
sh.605258,协和电子,0.7,32.2,2.17
sh.605259,绿田机械,0.6,21.82,2.75
sh.605266,健之佳,1.1,20.1,5.47
sh.605268,王力安防,0.2,10.63,1.88
sh.605277,新亚电子,0.15,22.2,0.68
sh.605286,同力日升,0.18,42.8,0.42
sh.605287,德才股份,0.0,29.01,0.0
sh.605288,凯迪股份,0.375,105.13,0.36
sh.605289,罗曼股份,0.0,65.15,0.0
sh.605296,神农集团,0.39,28.33,1.38
sh.605298,必得科技,0.15,38.37,0.39
sh.605299,舒华体育,0.2,10.19,1.96
sh.605300,佳禾食品,0.06,12.5,0.48
sh.605303,园林股份,0.0,23.16,0.0
sh.605305,中际联合,0.82,41.25,1.99
sh.605318,法狮龙,0.3,52.35,0.57
sh.605319,无锡振华,0.67,20.4,3.28
sh.605333,沪光股份,0.23,29.3,0.78
sh.605336,帅丰电器,0.325,15.96,2.04
sh.605337,李子园,0.74,12.09,6.12
sh.605338,巴比食品,0.8,27.8,2.88
sh.605339,南侨食品,0.17,19.42,0.88
sh.605358,立昂微,0.0,29.44,0.0
sh.605365,立达信,0.42,17.61,2.39
sh.605366,宏柏新材,0.0,6.98,0.0
sh.605368,蓝天燃气,0.85,9.55,8.9
sh.605369,拱东医疗,0.4,19.01,2.1
sh.605376,博迁新材,0.15,49.27,0.3
sh.605377,华旺科技,0.68,8.5,8.0
sh.605378,野马电池,0.5,23.3,2.15
sh.605388,均瑶健康,0.08,7.86,1.02
sh.605389,长龄液压,0.72,72.4,0.99
sh.605398,新炬网络,0.015,32.1,0.05
sh.605399,晨光新材,0.1,16.18,0.62
sh.605488,福莱新材,0.15,33.15,0.45
sh.605499,东鹏饮料,5.0,263.66,1.9
sh.605500,森林包装,0.15,8.98,1.67
sh.605507,国邦医药,0.6058,23.97,2.53
sh.605555,德昌股份,0.35,17.8,1.97
sh.605566,福莱蒽特,0.1,29.6,0.34
sh.605567,春雪食品,0.1,11.55,0.87
sh.605577,龙版传媒,0.15,13.96,1.07
sh.605580,恒盛能源,0.25,43.6,0.57
sh.605588,冠石科技,0.0,51.11,0.0
sh.605589,圣泉集团,0.55,26.45,2.08
sh.605598,上海港湾,0.114,48.3,0.24
sh.605599,菜百股份,0.72,15.51,4.64
sh.688001,华兴源创,0.0,27.66,0.0
sh.688002,睿创微纳,0.16,76.1,0.21
sh.688003,天准科技,0.5,52.69,0.95
sh.688004,博汇科技,0.0,29.33,0.0
sh.688005,容百科技,0.37,30.61,1.21
sh.688006,杭可科技,0.182,28.8,0.63
sh.688007,光峰科技,0.0251,17.87,0.14
sh.688008,澜起科技,0.59,118.5,0.5
sh.688009,中国通号,0.17,5.2,3.27
sh.688010,福光股份,0.057,27.93,0.2
sh.688011,新光光电,0.0,45.21,0.0
sh.688012,中微公司,0.3,268.1,0.11
sh.688013,天臣医疗,1.0,50.45,1.98
sh.688015,交控科技,0.23,23.47,0.98
sh.688016,心脉医疗,1.65,93.48,1.77
sh.688017,绿的谐波,0.1,146.93,0.07
sh.688018,乐鑫科技,0.6,167.3,0.36
sh.688019,安集科技,0.45,201.8,0.22
sh.688020,方邦股份,0.1868,59.03,0.32
sh.688021,奥福科技,0.0,19.52,0.0
sh.688022,瀚川智能,0.0,15.27,0.0
sh.688023,安恒信息,0.0,55.67,0.0
sh.688025,杰普特,0.42,143.76,0.29
sh.688026,洁特生物,0.073,17.09,0.43
sh.688027,国盾量子,0.0,457.88,0.0
sh.688028,沃尔德,0.34,67.0,0.51
sh.688029,南微医学,1.5,79.14,1.9
sh.688030,山石网科,0.0,20.49,0.0
sh.688031,星环科技,0.0,65.51,0.0
sh.688032,禾迈股份,3.2,98.77,3.24
sh.688033,天宜新材,0.0,6.83,0.0
sh.688035,德邦科技,0.35,46.68,0.75
sh.688036,传音控股,2.3,64.11,3.59
sh.688037,芯源微,0.11,125.09,0.09
sh.688038,中科通达,0.0,17.04,0.0
sh.688039,当虹科技,0.0,49.01,0.0
sh.688041,海光信息,0.17,217.3,0.08
sh.688045,必易微,0.0,39.4,0.0
sh.688046,药康生物,0.14,17.12,0.82
sh.688047,龙芯中科,0.0,132.25,0.0
sh.688048,长光华芯,0.0,118.7,0.0
sh.688049,炬芯科技,0.33,52.32,0.63
sh.688050,爱博医疗,0.35,60.73,0.58
sh.688051,佳华科技,0.0,48.0,0.0
sh.688052,纳芯微,0.0,153.5,0.0
sh.688053,ST思科瑞,0.0,29.59,0.0
sh.688055,龙腾光电,0.0,3.92,0.0
sh.688056,莱伯泰科,0.6,35.7,1.68
sh.688057,金达莱,0.25,12.39,2.02
sh.688058,宝兰德,0.0,29.6,0.0
sh.688059,华锐精密,0.6,81.25,0.74
sh.688060,云涌科技,0.0,46.56,0.0
sh.688061,灿瑞科技,0.0,32.92,0.0
sh.688062,迈威生物,0.0,43.1,0.0
sh.688063,派能科技,0.45,59.06,0.76
sh.688065,凯赛生物,0.4,47.49,0.84
sh.688066,航天宏图,0.0,27.38,0.0
sh.688067,爱威科技,0.154,26.0,0.59
sh.688068,热景生物,0.0,175.0,0.0
